plant	abs_stom	epi_count	il	row	tray	col
S1	30	41	IL_2.2	A	O	C
Q3	30	40.5	IL_2.6.5	C	M	E
Q1	30	48	IL_3.2	A	M	E
C5	30	40	IL_3.5	E	B	D
K23	30	41	IL_4.1	C	I	C
P17	30	42	IL_5.3	G	M	B
O9	30	43.5	IL_7.1	I	L	B
E5	30	39.5	IL_7.3	E	D	B
K40	30	39	IL_7.5	J	I	D
I34	30	34	IL_8.1	D	H	A
G37	30	43.5	IL_8.3	G	F	C
D37	30	34	IL_9.1.2	G	D	A
A3	30	41	cvm82	C	A	A
D30	30	31.5	cvm82	J	C	E
J35	30	46	cvm82	E	H	E
F1	30.5	43	IL_10.1.1	A	E	A
J32	30.5	36.5	IL_12.1.1	B	H	E
D3	30.5	39	IL_2.6.5	C	C	C
S25	30.5	38.5	IL_3.1	E	O	E
B24	30.5	39.5	IL_3.2	D	B	B
G13	30.5	44	IL_3.4	C	F	A
O28	30.5	38.5	IL_4.1.1	H	L	D
P32	30.5	40	IL_4.3.2	B	M	D
S26	30.5	40.5	IL_6.2	F	O	E
A20	30.5	35	IL_7.4.1	J	A	B
F38	30.5	42	IL_8.2	H	E	D
S35	30.5	28.5	IL_8.2.1	E	P	A
T1	30.5	39	IL_9.2	A	P	B
T8	30.5	35.5	IL_9.3.1	H	P	B
H23	30.5	38.5	cvm82	C	G	A
T35	30.5	44.5	cvm82	E	P	E
R39	31	34.5	IL_1.3	I	O	B
Q22	31	37.5	IL_10.2	B	N	B
B12	31	37	IL_11.4.1	B	B	A
T10	31	42.5	IL_11.4.1	J	P	B
S17	31	45	IL_12.2	G	O	D
D28	31	43	IL_12.4	H	C	E
O4	31	43	IL_12.4	D	L	B
K2	31	31.5	IL_2.6	B	I	A
I1	31	41.5	IL_3.1	A	G	C
E32	31	39	IL_3.5	B	D	E
R21	31	43	IL_4.1.1	A	O	A
B17	31	38	IL_6.2	G	B	A
H20	31	41.5	IL_6.3	J	F	E
Q39	31	33	IL_6.3	I	N	C
N2	31	27	IL_7.3	B	K	C
C35	31	42.5	IL_7.4.1	E	C	B
G9	31	37.5	IL_9.2.6	I	E	E
F15	31.5	42	IL_10.2.2	E	E	B
P1	31.5	42	IL_11.1	A	M	A
D5	31.5	36.5	IL_11.2	E	C	C
F31	31.5	38.5	IL_11.3	A	E	D
D23	31.5	36.5	IL_12.1.1	C	C	E
H28	31.5	40.5	IL_12.3	H	G	A
R10	31.5	36	IL_4.3	J	N	D
J17	31.5	46.5	IL_4.4	G	H	C
I16	31.5	37	IL_5.2	F	G	D
B36	31.5	38	IL_5.4	F	B	C
S36	31.5	43	IL_5.4	F	P	A
S30	31.5	35	IL_8.1.1	J	O	E
J28	31.5	47.5	IL_8.2	H	H	D
N28	31.5	42	IL_9.3.2	H	K	E
J3	31.5	38	cvm82	C	H	B
L3	31.5	40	cvm82	C	I	E
M29	31.5	29.5	cvm82	I	K	A
K1	32	49	IL_1.1.2	A	I	A
O26	32	45.5	IL_1.1.2	F	L	D
H39	32	46	IL_1.2	I	G	B
S27	32	44	IL_1.4.18	G	O	E
H2	32	39	IL_10.1	B	F	D
F11	32	44.5	IL_10.2	A	E	B
D22	32	45	IL_10.2.2	B	C	E
F32	32	34	IL_11.1	B	E	D
S10	32	41	IL_11.3	J	O	C
O18	32	35	IL_12.2	H	L	C
J13	32	47.5	IL_2.1	C	H	C
K39	32	44.5	IL_2.3	I	I	D
J12	32	37.5	IL_2.6	B	H	C
S3	32	33	IL_3.3	C	O	C
D21	32	39	IL_3.4	A	C	E
E8	32	46	IL_3.4	H	D	B
C39	32	38.5	IL_4.1	I	C	B
M23	32	45.5	IL_4.4	C	K	A
I31	32	44	IL_6.3	A	H	A
P3	32	37.5	IL_7.5	C	M	A
H40	32	36.5	IL_7.5.5	J	G	B
D15	32	33.5	IL_8.1.5	E	C	D
M13	32	41.5	IL_8.1.5	C	J	E
D25	32	40.5	IL_8.2	E	C	E
C25	32	38	IL_9.1.3	E	C	A
